writing	reading	meaning	level
分る	わかる	分かる, 解る: to be understandable, to understand; 分かる: to tell (one thing from another), to distinguish; 分かる, 判る: to be recognized, to be realized; 分かる: to become known, to turn out; Classical Japanese form of わかれる (wakareru): to split, to fork, to branch off	N2
分かれる	わかれる	diverge, branch; be divided	N2
若々しい	わかわかしい	youthful	N2
湧く	わく	frame (such as a picture frame); box; border (of a box); timeslot; limit, restriction; 湧く, 涌く: water and so on to spring, gush, well up; 湧く, 涌く: to feel emotions form, such as bravery; 沸く: to boil; 沸く: (figuratively) to boom; 沸く: to be excited	N2
詫びる	わびる	apologize	N2
和服	わふく	Japanese clothes; a kimono	N2
わりあいに	わりあいに	comparatively	N2
割算	わりざん	division (math)	N2
割と	わりと	relatively	N2
割引	わりびき	discount; a ten percent discount; to offer a discount, to reduce the price	N2
椀	わん	wooden bowl	N2
碗	わん	bowl; counter for bowls of food or drink	N2
ワンピース	わんぴーす	dress	N2
嗚呼	ああ	in that other way; oh!, ah!; expresses surprise; expresses affirmation; used to call attention; expresses a grunt or pain; expresses a calm positive response: yeah	N1
相	あい	mutual, reciprocal, with one another; appearance, look; nature, personality, characteristic; fate, destiny; a habit, custom, or practice; the good and bad of a person, especially one's faults; minister of state; appearance, how something looks; an aspect of something; grammatical aspect; a phase, as of matter; the central supporting branch of an ikebana arrangement	N1
相変わらず	あいかわらず	still, as always, as usual, as ... as ever, same old story	N1
愛想	あいそ	courtesy, civility; bill, check	N1
相対	あいたい	confrontation, head-to-head; to confront, face	N1
間柄	あいだがら	a relationship; terms, as in friendly or hostile	N1
愛憎	あいぞう	love and hate, mixed feelings	N1
合間	あいま	pause, break	N1
敢えて	あえて	going ahead and doing something despite knowing it to be impossible, daring; particularly	N1
仰ぐ	あおぐ	look up at; look up to, respect; depend on, turn to for, ask for; drink, take	N1
垢	あか	scum; dirt; account	N1
亜科	あか	subfamily	N1
銅	あかがね	copper, Cu	N1
証	あかし	proof, evidence, testimony	N1
赤字	あかじ	characters written in red; red ink, deficit, in the red; corrections (by a teacher or proofreader) written in red	N1
明かす	あかす	to reveal, to disclose; to go through the whole night, to be awake through the night	N1
赤ちゃん	あかちゃん	a baby, an infant (human or animal)	N1
明白	あからさま	clear, obvious, plain, undeniable; obviousness, undeniability	N1
赤らむ	あからむ	to redden, as of a fruit or a bud; to blush in embarrassment etc.	N1
明るい	あかるい	bright, light, luminous; cheerful, merry	N1
上がり	あがり	rise; income; ending; tea; stem or continuative form of 上がる (agaru)	N1
上がる	あがる	rise, ascend, go up; go in, enter (a house); get out (of a pool, etc.); visit, call (on someone); be promoted, go up (in social standing); let up, come to an end; flare up (as in fire)	N1
商人	あきうど	trader, shopkeeper, merchant; trader, tradesperson, merchant	N1
空間	あきま	space; area, room	N1
諦め	あきらめ	resignation, acceptance, consolation	N1
呆れる	あきれる	be amazed, astonished	N1
悪	あく	evil, wickedness	N1
灰汁	あく	lye, originally the clear alkaline liquid left after leaching wood ash in water; scum, the coagulated proteins and fats that gather on the surface of a pot of boiling food; components contained in vegetables that impart an acrid, astringent, or harsh flavor; アク: (by extension from the \"flavor\" sense) harshness as a characteristic of one's personality	N1
悪どい	あくどい	harsh of manner or personality; vicious, wily, unscrupulous, villainous; persistent or stubborn of manner; cloying of flavor; garish or overdone of color or appearance	N1
悪日	あくび	unlucky day on a calendar; any unlucky day	N1
明くる	あくる	next (day, morning, month, year)	N1
憧れ	あこがれ	yearning; longing; admiration; adoration; imperfective and stem (or continuative) forms of 憧れる (akogareru)	N1
顎	あご	jaw; chin; barb; jaw of a machine	N1
麻	あさ	hemp; flax; linen; a surname	N1
明後日	あさって	the day after tomorrow	N1
朝寝坊	あさねぼう	oversleeping in the morning; one who sleeps late or oversleeps in the morning; to oversleep in the morning	N1
浅ましい	あさましい	miserable, abject; mean, base	N1
字	あざ	a section of a village	N1
欺く	あざむく	trick, deceive; as ... as ... (e.g. as heavy as a boulder)	N1
鮮やか	あざやか	vivid; skillful	N1
あざ笑う	あざわらう	to sneer at, to ridicule	N1
味わい	あじわい	flavor; taste	N1
東	あずま	the east; the lands east of the 都 (miyako, “imperial capital”); during the Kamakura and Muromachi periods, the Kamakura region or its titular 幕府 (bakufu, “shogunate”), as opposed to the imperial capital of Kyoto; during the Edo period, the region around Edo; short for 東つ (azumatsu); short for 東琴 (azumagoto): a six-stringed Japanese zither; short for 東下駄 (azumageta); a placename; a unisex given name; a surname	N1
焦る	あせる	be in a hurry	N1
彼処	あそこ	yon place, that place yonder, that place over there, that area over there, that part over there; that aforementioned place	N1
値	あたい	value, worth; variable; value; 価: price, cost	N1
値する	あたいする	deserve, be worth, be worthy of	N1
私	あたし	first-person singular pronoun: I, me; a personal or private matter; selfishness; personal, private; secret; privacy, secrecy; a brother-in-law	N1
当たり	あたり	a hit; a clue, an estimate, a guess; a winning or correct guess; atari, a situation where a stone or group of stones is threatened with capture on the next move; bite; per, each, every; stem or continuative form of 当たる (ataru)	N1
当たり前	あたりまえ	obvious, natural, of course; usual, common	N1
他人	あだびと	other people; stranger	N1
彼方此方	あちこち	reversed, inverted, opposite	N1
彼方	あちら	the other, the other side; that way; over there, far away, in the distance; he, she, it: general third-person pronoun, referring to a person or thing far from both speaker and listener; a time removed from the present, either in the past or in the future	N1
彼方此方	あちらこちら	muddled	N1
悪化	あっか	aggravation, deterioration, degeneration, corruption; to worsen, to aggravate, to deteriorate	N1
呆気ない	あっけない	unsatisfying and disappointing	N1
悪口	あっこう	speaking ill of people, verbal abuse; to badmouth	N1
あっさり	あっさり	simple; easily; readily; flatly	N1
圧迫	あっぱく	pressure, oppression; put pressure on; oppress	N1
扱い	あつかい	handling	N1
集まる	あつまる	to gather; to come together; to assemble	N1
誂える	あつらえる	to place an order	N1
圧力	あつりょく	pressure (a force applied to a surface); pressure, coercion	N1
当て	あて	aim; object; end; hope; expectation; something to rely or depend upon; pad; cushion; something added for protection; snack to have with drink; 宛, 宛て: (addressed) to; per; I; me	N1
宛	あて	address; just like; as if; just like; crooked; winding	N1
当て字	あてじ	The use of kanji chosen primarily for their phonetic (narrow sense) or semantic (broad sense) value to represent foreign or native Japanese words, or the kanji so used.; A kanji character whose presence in a kanji compound is for euphony instead of meaning, e.g., 無(な) (na) in 水(み)無(な)月(づき) (minazuki).	N1
当てはまる	あてはまる	apply, hold true, be applicable	N1
当てはめる	あてはめる	to apply, to adapt, to fit	N1
宛てる	あてる	address	N1
跡継ぎ	あとつぎ	inheritor; successor	N1
後回し	あとまわし	postponing, delaying, putting off	N1
貴女	あなた	a lady; you	N1
彼の	あの	his, of him	N1
溢れる	あふれる	to overflow; to have in abundance	N1
油絵	あぶらえ	oil painting	N1
炙る	あぶる	scorch, broil, toast, grill	N1
あべこべ	あべこべ	contrary, opposite, inverse	N1
甘える	あまえる	to seek affection, to fawn; to accept (other's kindness); to depend on (a favor); to presume upon other's benevolence and take liberties; to have a sweet smell; to be fragrant; to be shy; to be bashful	N1
甘口	あまくち	sweet, mild (taste)	N1
雨具	あまぐ	raingear	N1
天津	あまつ	Tianjin (a direct-administered municipality and major city in northern China)	N1
網	あみ	net, netting	N1
天地	あめつち	heaven and earth; and all things in them.; top and bottom	N1
操る	あやつる	to control, to manage, to handle, to operate; to manipulate, to trick	N1
あやふや	あやふや	uncertain; indefinite; ambiguous; vague	N1
危ぶむ	あやぶむ	to fear for, to feel uncertain about	N1
過ち	あやまち	fault, error, mistake; negligence; immorality between a man and a woman; adultery	N1
誤る	あやまる	to make a mistake, to err; to become in a bad mood, to become troubled or despondent; to be unreasonable or irregular; to mistake one thing for another; to choose in the wrong direction; to deceive someone, to lead astray; to take something through deception, to deceive someone of something; to break a promise, to break one's word	N1
歩み	あゆみ	a unisex given name; 歩, 歩弥, 歩望: a male given name; 歩実, 歩美, 鮎己, 杏結実, 安結実, 愛結実, 安祐美, 亜結実: a female given name; 亜由美, 亜裕美, 亜佑実, 亜佑美, 亜佑巳, 亜侑美, 亜侑実, 亜優美: a female given name; 亜由実, 亜有美, 明由美, 麻由美, 鮎実, 鮎未, 鮎美, 鮎見: a female given name; 阿佑美, 阿由美, 阿弓, 亜弓, 愛美, 亜夕美, 亜友美, 亜輸美: a female given name; 亜裕実, 亜結美, 亜結深, 亜祐美, 亜祐海, 亜祐未, 亜祐弥, 亜祐実: a female given name; 亜由未, 亜由巳, 亜柚実, 亜有未, 亜有望, 亜有実, 亜悠美, 亜悠海: a female given name; 亜悠実, 亜夕実, 亜唯美, 亜友未, 亜友実, 亜優海, 亜優巳, 亜優実, 希海: a female given name	N1
歩む	あゆむ	to walk	N1
あら	あら	oh; ah	N1
予め	あらかじめ	in advance, beforehand, previously, in anticipation	N1
荒らす	あらす	to sterilize; to lay waste; to devastate; to put everything in disorder; to invade; to barge into someone's area or domain; to destroy, to ruin; to troll, to vandalize	N1
粗筋	あらすじ	summary, synopsis (of a story or film)	N1
争い	あらそい	conflict, fight, quarrel, strife	N1
改まる	あらたまる	改まる: to be changed to something newer or better; to be renewed; to be amended; to be improved; 改まる: to be ceremonious; to be formal; 改まる, 革まる: to worsen; to be on the verge of death	N1
荒っぽい	あらっぽい	rough, violent, not subtle; rude, coarse	N1
凡ゆる	あらゆる	every; all	N1
霰	あられ	hail under five millimeters in diameter; diced pieces of food	N1
現われ	あらわれ	embodiment, materialization	N1
現われる	あらわれる	passive of あらう (arau)	N1
有難う	ありがとう	an expression of thankfulness: thank you	N1
有様	ありさま	situation; status; the way things are	N1
有りのまま	ありのまま	the truth, fact, as it is, frankly	N1
或る	ある	to exist, to be, to have; 有る: (inanimate) to exist, be in existence; 在る: (inanimate) to be at a location; to be located; 有る: (animate) to exist, with the existence considered objective and abstract; 有る: to happen, occur; to be performed, carried out; 在る: to be put in a certain location, position or situation; 有る: to have a certain number, amount, size, etc.; 有る: (of time) to pass, go by; 有る: (of a matter or state) to be recognized, be acknowledged; 在る: to depend on, lie in, be influenced by; 在る, 存る: to be alive, surviving; to have; 有る: to be owned, be possessed; 有る: to be a characteristic or ability; to be included as a part; 有る: (of thoughts, emotions or sensations) to be felt; Indicating that something has a particular quality or is in a particular state; Indicating that the result of a certain action or behavior has continued until now.; Indicating that something is done in advance; Indicating that the action or effect is currently ongoing.; Judging that something has a certain nature or state based on its explanation; or simply expressing assertion (see: である (de aru)); Expressing respect toward the person performing the action; certain, one, some	N1
